2025-06-05 08:41:30,021 avocado.sysinfo INFO | Commands configured by file: /usr/local/lib/python3.10/dist-packages/avocado/etc/avocado/sysinfo/commands
2025-06-05 08:41:30,022 avocado.sysinfo INFO | Files configured by file: /usr/local/lib/python3.10/dist-packages/avocado/etc/avocado/sysinfo/files
2025-06-05 08:41:30,022 avocado.sysinfo DEBUG| File /usr/local/lib/python3.10/dist-packages/avocado/etc/avocado/sysinfo/fail_commands does not exist.
2025-06-05 08:41:30,022 avocado.sysinfo DEBUG| File /usr/local/lib/python3.10/dist-packages/avocado/etc/avocado/sysinfo/fail_files does not exist.
2025-06-05 08:41:30,022 avocado.sysinfo INFO | Profilers configured by file: /usr/local/lib/python3.10/dist-packages/avocado/etc/avocado/sysinfo/profilers
2025-06-05 08:41:30,022 avocado.sysinfo INFO | Profiler disabled
2025-06-05 08:41:30,236 avocado.sysinfo DEBUG| Not logging /sys/kernel/debug/sched_features (file not found)
2025-06-05 08:41:30,244 avocado.sysinfo DEBUG| Not logging /proc/pci (file not found)
2025-06-05 08:41:30,341 avocado.sysinfo DEBUG| Not logging /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor (file not found)
2025-06-05 08:41:30,408 avocado.test INFO | Command line: /usr/local/bin/avocado run --nrunner-max-parallel-tasks 1 ./pcache.py -m ./pcache.py.data/pcache.yaml
2025-06-05 08:41:30,408 avocado.test INFO | 
2025-06-05 08:41:30,408 avocado.test INFO | Avocado version: 96.0
2025-06-05 08:41:30,408 avocado.test INFO | 
2025-06-05 08:41:30,408 avocado.test INFO | Avocado config:
2025-06-05 08:41:30,409 avocado.test INFO | 
2025-06-05 08:41:30,413 avocado.test INFO | {'assets.fetch.ignore_errors': False,
2025-06-05 08:41:30,413 avocado.test INFO |  'assets.fetch.references': [],
2025-06-05 08:41:30,413 avocado.test INFO |  'assets.fetch.timeout': 300,
2025-06-05 08:41:30,413 avocado.test INFO |  'assets.list.days': None,
2025-06-05 08:41:30,413 avocado.test INFO |  'assets.list.overall_limit': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.list.size_filter': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.purge.days': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.purge.overall_limit': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.purge.size_filter': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.register.name': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.register.sha1_hash': None,
2025-06-05 08:41:30,414 avocado.test INFO |  'assets.register.url': None,
2025-06-05 08:41:30,415 avocado.test INFO |  'config': None,
2025-06-05 08:41:30,415 avocado.test INFO |  'config.datadir': False,
2025-06-05 08:41:30,415 avocado.test INFO |  'core.input_encoding': 'utf-8',
2025-06-05 08:41:30,415 avocado.test INFO |  'core.paginator': False,
2025-06-05 08:41:30,415 avocado.test INFO |  'core.show': {'app'},
2025-06-05 08:41:30,415 avocado.test INFO |  'core.verbose': False,
2025-06-05 08:41:30,415 avocado.test INFO |  'datadir.paths.base_dir': '/root/avocado',
2025-06-05 08:41:30,415 avocado.test INFO |  'datadir.paths.cache_dirs': ['/root/avocado/data/cache'],
2025-06-05 08:41:30,416 avocado.test INFO |  'datadir.paths.data_dir': '/root/avocado/data',
2025-06-05 08:41:30,416 avocado.test INFO |  'datadir.paths.logs_dir': '/root/avocado/job-results',
2025-06-05 08:41:30,416 avocado.test INFO |  'datadir.paths.test_dir': '/usr/share/doc/avocado/tests',
2025-06-05 08:41:30,416 avocado.test INFO |  'diff.create_reports': False,
2025-06-05 08:41:30,416 avocado.test INFO |  'diff.filter': ['cmdline', 'time', 'variants', 'results', 'config', 'sysinfo'],
2025-06-05 08:41:30,416 avocado.test INFO |  'diff.html': None,
2025-06-05 08:41:30,416 avocado.test INFO |  'diff.jobids': [],
2025-06-05 08:41:30,416 avocado.test INFO |  'diff.open_browser': False,
2025-06-05 08:41:30,417 avocado.test INFO |  'diff.strip_id': False,
2025-06-05 08:41:30,417 avocado.test INFO |  'distro.distro_def_arch': '',
