2025-08-12 03:48:59,029 avocado.sysinfo INFO | Commands configured by file: /usr/local/lib/python3.12/dist-packages/avocado/etc/avocado/sysinfo/commands
2025-08-12 03:48:59,031 avocado.sysinfo INFO | Files configured by file: /usr/local/lib/python3.12/dist-packages/avocado/etc/avocado/sysinfo/files
2025-08-12 03:48:59,033 avocado.sysinfo DEBUG| File /usr/local/lib/python3.12/dist-packages/avocado/etc/avocado/sysinfo/fail_commands does not exist.
2025-08-12 03:48:59,033 avocado.sysinfo DEBUG| File /usr/local/lib/python3.12/dist-packages/avocado/etc/avocado/sysinfo/fail_files does not exist.
2025-08-12 03:48:59,034 avocado.sysinfo INFO | Profilers configured by file: /usr/local/lib/python3.12/dist-packages/avocado/etc/avocado/sysinfo/profilers
2025-08-12 03:48:59,034 avocado.sysinfo INFO | Profiler disabled
2025-08-12 03:49:02,060 avocado.sysinfo DEBUG| Not logging /sys/kernel/debug/sched_features (file not found)
2025-08-12 03:49:02,060 avocado.sysinfo DEBUG| Not logging /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor (file not found)
2025-08-12 03:49:02,064 avocado.sysinfo DEBUG| Not logging /proc/pci (file not found)
2025-08-12 03:49:02,663 avocado.test INFO | Command line: /usr/local/bin/avocado run --nrunner-max-parallel-tasks 1 ./pcache.py -m ./pcache.py.data/pcache.yaml
2025-08-12 03:49:02,664 avocado.test INFO | 
2025-08-12 03:49:02,664 avocado.test INFO | Avocado version: 96.0
2025-08-12 03:49:02,664 avocado.test INFO | 
2025-08-12 03:49:02,664 avocado.test INFO | Avocado config:
2025-08-12 03:49:02,664 avocado.test INFO | 
2025-08-12 03:49:02,668 avocado.test INFO | {'assets.fetch.ignore_errors': False,
2025-08-12 03:49:02,668 avocado.test INFO |  'assets.fetch.references': [],
2025-08-12 03:49:02,668 avocado.test INFO |  'assets.fetch.timeout': 300,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.list.days': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.list.overall_limit': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.list.size_filter': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.purge.days': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.purge.overall_limit': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.purge.size_filter': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.register.name': None,
2025-08-12 03:49:02,669 avocado.test INFO |  'assets.register.sha1_hash': None,
2025-08-12 03:49:02,670 avocado.test INFO |  'assets.register.url': None,
2025-08-12 03:49:02,670 avocado.test INFO |  'config': None,
2025-08-12 03:49:02,670 avocado.test INFO |  'config.datadir': False,
2025-08-12 03:49:02,670 avocado.test INFO |  'core.input_encoding': 'utf-8',
2025-08-12 03:49:02,670 avocado.test INFO |  'core.paginator': False,
2025-08-12 03:49:02,670 avocado.test INFO |  'core.show': {'app'},
2025-08-12 03:49:02,670 avocado.test INFO |  'core.verbose': False,
2025-08-12 03:49:02,670 avocado.test INFO |  'datadir.paths.base_dir': '/root/avocado',
2025-08-12 03:49:02,670 avocado.test INFO |  'datadir.paths.cache_dirs': ['/root/avocado/data/cache'],
2025-08-12 03:49:02,671 avocado.test INFO |  'datadir.paths.data_dir': '/root/avocado/data',
